DATAFLOW,SEXP: Sex,LTHP: Type of long-term health condition,AGEP: Age,REGION: Region,REGION_TYPE: Region Type,STATE: State,TIME_PERIOD: Time Period,OBS_VALUE
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4728: 4728,POA: Postal Areas,3: Queensland,2021,5
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4121: 4121,POA: Postal Areas,3: Queensland,2021,2432
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4373: 4373,POA: Postal Areas,3: Queensland,2021,90
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2795: 2795,POA: Postal Areas,1: New South Wales,2021,4856
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3911: 3911,POA: Postal Areas,2: Victoria,2021,390
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2093: 2093,POA: Postal Areas,1: New South Wales,2021,1365
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4482: 4482,POA: Postal Areas,3: Queensland,2021,6
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6359: 6359,POA: Postal Areas,5: Western Australia,2021,28
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,5046: 5046,POA: Postal Areas,4: South Australia,2021,1072
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,7182: 7182,POA: Postal Areas,6: Tasmania,2021,33
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6164: 6164,POA: Postal Areas,5: Western Australia,2021,5133
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6484: 6484,POA: Postal Areas,5: Western Australia,2021,0
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,5168: 5168,POA: Postal Areas,4: South Australia,2021,777
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,5710: 5710,POA: Postal Areas,4: South Australia,2021,166
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4705: 4705,POA: Postal Areas,3: Queensland,2021,12
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3956: 3956,POA: Postal Areas,2: Victoria,2021,278
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6011: 6011,POA: Postal Areas,5: Western Australia,2021,513
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2199: 2199,POA: Postal Areas,1: New South Wales,2021,968
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2190: 2190,POA: Postal Areas,1: New South Wales,2021,1379
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,7256: 7256,POA: Postal Areas,6: Tasmania,2021,126
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,5354: 5354,POA: Postal Areas,4: South Australia,2021,45
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3804: 3804,POA: Postal Areas,2: Victoria,2021,509
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,5381: 5381,POA: Postal Areas,4: South Australia,2021,43
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6504: 6504,POA: Postal Areas,5: Western Australia,2021,4
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4715: 4715,POA: Postal Areas,3: Queensland,2021,459
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4885: 4885,POA: Postal Areas,3: Queensland,2021,307
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3814: 3814,POA: Postal Areas,2: Victoria,2021,221
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2038: 2038,POA: Postal Areas,1: New South Wales,2021,921
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4214: 4214,POA: Postal Areas,3: Queensland,2021,3211
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2852: 2852,POA: Postal Areas,1: New South Wales,2021,351
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2479: 2479,POA: Postal Areas,1: New South Wales,2021,424
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3304: 3304,POA: Postal Areas,2: Victoria,2021,288
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,5655: 5655,POA: Postal Areas,4: South Australia,2021,0
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,0862: 0862,POA: Postal Areas,7: Northern Territory,2021,23
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,7012: 7012,POA: Postal Areas,6: Tasmania,2021,114
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3227: 3227,POA: Postal Areas,2: Victoria,2021,382
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,5308: 5308,POA: Postal Areas,4: South Australia,2021,3
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2784: 2784,POA: Postal Areas,1: New South Wales,2021,159
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6445: 6445,POA: Postal Areas,5: Western Australia,2021,13
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3008: 3008,POA: Postal Areas,2: Victoria,2021,762
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3633: 3633,POA: Postal Areas,2: Victoria,2021,65
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2536: 2536,POA: Postal Areas,1: New South Wales,2021,2177
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2525: 2525,POA: Postal Areas,1: New South Wales,2021,1023
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6101: 6101,POA: Postal Areas,5: Western Australia,2021,1734
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3618: 3618,POA: Postal Areas,2: Victoria,2021,92
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4184: 4184,POA: Postal Areas,3: Queensland,2021,1406
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2047: 2047,POA: Postal Areas,1: New South Wales,2021,770
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,0820: 0820,POA: Postal Areas,7: Northern Territory,2021,1112
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4569: 4569,POA: Postal Areas,3: Queensland,2021,160
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2842: 2842,POA: Postal Areas,1: New South Wales,2021,56
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3048: 3048,POA: Postal Areas,2: Victoria,2021,1400
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6412: 6412,POA: Postal Areas,5: Western Australia,2021,0
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4551: 4551,POA: Postal Areas,3: Queensland,2021,6536
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,5262: 5262,POA: Postal Areas,4: South Australia,2021,34
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2009: 2009,POA: Postal Areas,1: New South Wales,2021,724
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,5000: 5000,POA: Postal Areas,4: South Australia,2021,1652
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,7023: 7023,POA: Postal Areas,6: Tasmania,2021,48
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2300: 2300,POA: Postal Areas,1: New South Wales,2021,1400
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2256: 2256,POA: Postal Areas,1: New South Wales,2021,1878
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6063: 6063,POA: Postal Areas,5: Western Australia,2021,1041
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3058: 3058,POA: Postal Areas,2: Victoria,2021,4316
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6054: 6054,POA: Postal Areas,5: Western Australia,2021,2251
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3265: 3265,POA: Postal Areas,2: Victoria,2021,212
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2567: 2567,POA: Postal Areas,1: New South Wales,2021,3349
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2228: 2228,POA: Postal Areas,1: New South Wales,2021,1519
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3274: 3274,POA: Postal Areas,2: Victoria,2021,10
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2265: 2265,POA: Postal Areas,1: New South Wales,2021,821
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6438: 6438,POA: Postal Areas,5: Western Australia,2021,44
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,5303: 5303,POA: Postal Areas,4: South Australia,2021,0
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3860: 3860,POA: Postal Areas,2: Victoria,2021,725
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4625: 4625,POA: Postal Areas,3: Queensland,2021,265
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3039: 3039,POA: Postal Areas,2: Victoria,2021,1598
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3311: 3311,POA: Postal Areas,2: Victoria,2021,146
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3950: 3950,POA: Postal Areas,2: Victoria,2021,598
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,0837: 0837,POA: Postal Areas,7: Northern Territory,2021,29
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3764: 3764,POA: Postal Areas,2: Victoria,2021,1142
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4852: 4852,POA: Postal Areas,3: Queensland,2021,302
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3154: 3154,POA: Postal Areas,2: Victoria,2021,509
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3469: 3469,POA: Postal Areas,2: Victoria,2021,21
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3573: 3573,POA: Postal Areas,2: Victoria,2021,19
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3597: 3597,POA: Postal Areas,2: Victoria,2021,24
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6320: 6320,POA: Postal Areas,5: Western Australia,2021,44
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4383: 4383,POA: Postal Areas,3: Queensland,2021,101
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,5014: 5014,POA: Postal Areas,4: South Australia,2021,1365
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3021: 3021,POA: Postal Areas,2: Victoria,2021,3272
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3677: 3677,POA: Postal Areas,2: Victoria,2021,2345
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,5237: 5237,POA: Postal Areas,4: South Australia,2021,41
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2602: 2602,POA: Postal Areas,8: Australian Capital Territory,2021,4226
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2420: 2420,POA: Postal Areas,1: New South Wales,2021,406
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2065: 2065,POA: Postal Areas,1: New South Wales,2021,2183
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6110: 6110,POA: Postal Areas,5: Western Australia,2021,3559
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3759: 3759,POA: Postal Areas,2: Victoria,2021,104
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3942: 3942,POA: Postal Areas,2: Victoria,2021,168
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6021: 6021,POA: Postal Areas,5: Western Australia,2021,1525
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4066: 4066,POA: Postal Areas,3: Queensland,2021,1882
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4613: 4613,POA: Postal Areas,3: Queensland,2021,103
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3825: 3825,POA: Postal Areas,2: Victoria,2021,2777
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2624: 2624,POA: Postal Areas,1: New South Wales,2021,3
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3687: 3687,POA: Postal Areas,2: Victoria,2021,109
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3088: 3088,POA: Postal Areas,2: Victoria,2021,2511
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3223: 3223,POA: Postal Areas,2: Victoria,2021,1033
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,7265: 7265,POA: Postal Areas,6: Tasmania,2021,21
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6105: 6105,POA: Postal Areas,5: Western Australia,2021,1180
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6514: 6514,POA: Postal Areas,5: Western Australia,2021,44
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2758: 2758,POA: Postal Areas,1: New South Wales,2021,698
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2157: 2157,POA: Postal Areas,1: New South Wales,2021,244
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,5127: 5127,POA: Postal Areas,4: South Australia,2021,776
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4285: 4285,POA: Postal Areas,3: Queensland,2021,2444
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,5452: 5452,POA: Postal Areas,4: South Australia,2021,39
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4494: 4494,POA: Postal Areas,3: Queensland,2021,5
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4012: 4012,POA: Postal Areas,3: Queensland,2021,2458
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2658: 2658,POA: Postal Areas,1: New South Wales,2021,147
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2331: 2331,POA: Postal Areas,1: New South Wales,2021,0
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2721: 2721,POA: Postal Areas,1: New South Wales,2021,21
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2121: 2121,POA: Postal Areas,1: New South Wales,2021,1470
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3385: 3385,POA: Postal Areas,2: Victoria,2021,57
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2372: 2372,POA: Postal Areas,1: New South Wales,2021,518
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6705: 6705,POA: Postal Areas,5: Western Australia,2021,18
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,7470: 7470,POA: Postal Areas,6: Tasmania,2021,123
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2763: 2763,POA: Postal Areas,1: New South Wales,2021,1949
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,7260: 7260,POA: Postal Areas,6: Tasmania,2021,335
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6282: 6282,POA: Postal Areas,5: Western Australia,2021,93
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,5680: 5680,POA: Postal Areas,4: South Australia,2021,143
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4422: 4422,POA: Postal Areas,3: Queensland,2021,23
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2904: 2904,POA: Postal Areas,8: Australian Capital Territory,2021,1264
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4739: 4739,POA: Postal Areas,3: Queensland,2021,17
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3128: 3128,POA: Postal Areas,2: Victoria,2021,1552
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3991: 3991,POA: Postal Areas,2: Victoria,2021,25
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,5581: 5581,POA: Postal Areas,4: South Australia,2021,38
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2162: 2162,POA: Postal Areas,1: New South Wales,2021,972
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,5090: 5090,POA: Postal Areas,4: South Australia,2021,748
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2128: 2128,POA: Postal Areas,1: New South Wales,2021,83
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3160: 3160,POA: Postal Areas,2: Victoria,2021,1057
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3480: 3480,POA: Postal Areas,2: Victoria,2021,178
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,5522: 5522,POA: Postal Areas,4: South Australia,2021,162
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6226: 6226,POA: Postal Areas,5: Western Australia,2021,82
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6714: 6714,POA: Postal Areas,5: Western Australia,2021,892
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2446: 2446,POA: Postal Areas,1: New South Wales,2021,1667
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3396: 3396,POA: Postal Areas,2: Victoria,2021,74
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6525: 6525,POA: Postal Areas,5: Western Australia,2021,270
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,5432: 5432,POA: Postal Areas,4: South Australia,2021,3
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4812: 4812,POA: Postal Areas,3: Queensland,2021,2270
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4427: 4427,POA: Postal Areas,3: Queensland,2021,11
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,5085: 5085,POA: Postal Areas,4: South Australia,2021,2044
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,7331: 7331,POA: Postal Areas,6: Tasmania,2021,23
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,5136: 5136,POA: Postal Areas,4: South Australia,2021,59
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4733: 4733,POA: Postal Areas,3: Queensland,2021,7
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2361: 2361,POA: Postal Areas,1: New South Wales,2021,86
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6574: 6574,POA: Postal Areas,5: Western Australia,2021,3
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3431: 3431,POA: Postal Areas,2: Victoria,2021,403
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6220: 6220,POA: Postal Areas,5: Western Australia,2021,350
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4377: 4377,POA: Postal Areas,3: Queensland,2021,44
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3054: 3054,POA: Postal Areas,2: Victoria,2021,953
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6169: 6169,POA: Postal Areas,5: Western Australia,2021,3889
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3170: 3170,POA: Postal Areas,2: Victoria,2021,1155
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4053: 4053,POA: Postal Areas,3: Queensland,2021,5237
